City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,west island,-12.1568,96.8225,85.98,79,21,14.97,CC,1717471549
83,uturoa,-16.7333,-151.4333,81.27,77,100,13.2,PF,1717471550
84,zavodskoy,43.4597,132.2922,53.47,94,75,8.95,RU,1717471551
85,talnakh,69.4865,88.3972,28.2,87,100,6.24,RU,1717471552
86,la'ie,21.6477,-157.9253,82.36,81,0,10.0,US,1717471553
87,kapa'a,22.0752,-159.319,84.18,84,75,12.66,US,1717471555
88,ust'-ilimsk,58.0006,102.6619,55.44,56,100,4.0,RU,1717471457
89,wotho,10.1657,166.0102,82.56,80,100,17.25,MH,1717471268
90,higuera de zaragoza,25.95,-109.2833,80.53,69,0,7.49,MX,1717471558
91,port elizabeth,-33.918,25.5701,51.31,93,0,1.14,ZA,1717471439
92,woodward,36.4337,-99.3904,74.43,87,0,9.22,US,1717471560
93,kiunga,-6.1219,141.2906,75.79,98,100,0.78,PG,1717471562
94,malvan,16.0667,73.4667,85.96,72,64,6.38,IN,1717471563
95,ribeira grande,38.5167,-28.7,60.78,86,12,5.01,PT,1717471564
96,banda aceh,5.5577,95.3222,84.69,68,100,4.09,ID,1717471490
97,baranchinskiy,58.1617,59.6991,54.48,97,100,6.17,RU,1717471567
98,college,64.8569,-147.8028,69.78,41,75,4.61,US,1717471569
99,prachuap khiri khan,12.2167,99.75,85.12,67,100,6.22,TH,1717471570
100,usogorsk,63.4106,48.6872,59.67,82,100,6.78,RU,1717471571
101,mana,5.6592,-53.7767,78.73,89,100,9.44,GF,1717471572
102,carnarvon,-24.8667,113.6333,70.48,47,0,13.13,AU,1717471573
103,alesund,62.4723,6.1549,51.75,66,75,14.97,NO,1717471574
104,olyokminsk,60.3736,120.4264,76.66,29,100,7.07,RU,1717471575
105,buala,-8.145,159.5921,84.72,74,29,4.52,SB,1717471510
106,dorado,18.4588,-66.2677,82.9,94,100,8.48,PR,1717471578
107,thompson,55.7435,-97.8558,53.76,71,40,9.22,CA,1717471579
108,badger,64.8,-147.5333,69.71,40,75,4.61,US,1717471580
109,choyr,46.3611,108.3611,73.47,32,100,9.37,MN,1717471581
110,bure,10.7,37.0667,60.62,75,14,3.49,ET,1717471582
111,rio grande,-32.035,-52.0986,43.95,66,100,6.96,BR,1717471584
112,vila velha,-20.3297,-40.2925,67.95,100,40,0.0,BR,1717471360
113,tabora,-5.0167,32.8,64.04,65,10,4.5,TZ,1717471586
114,tura,25.5198,90.2201,81.54,85,12,4.14,IN,1717471587
115,santa cruz cabralia,-16.2781,-39.0247,71.83,100,75,3.44,BR,1717471588
116,karasburg,-28.0167,18.75,41.79,80,27,9.78,NA,1717471589
117,luderitz,-26.6481,15.1594,53.8,77,2,5.28,NA,1717471591
118,longyearbyen,78.2186,15.6401,40.84,75,75,21.85,SJ,1717471592
119,den burg,53.0542,4.7972,55.38,94,40,4.61,NL,1717471593
120,kavaratti,10.5669,72.642,83.79,82,100,7.61,IN,1717471594
121,novaya igirma,57.1334,103.9112,61.86,55,100,8.63,RU,1717471595
122,wakkanai,45.4094,141.6739,60.78,67,40,13.8,JP,1717471411
123,lethem,3.3803,-59.7968,79.95,74,93,4.81,GY,1717471597
124,oranjemund,-28.55,16.4333,58.01,73,100,8.23,NA,1717471599
125,maubin,16.7333,95.65,86.4,74,91,10.6,MM,1717471600
126,mokhsogollokh,61.4681,128.9203,62.22,43,35,12.08,RU,1717471601
127,pampas,-12.4,-74.9,38.12,96,0,0.78,PE,1717471602
128,vorgashor,67.5833,63.95,25.81,85,100,3.15,RU,1717471603
129,ivdel',60.6911,60.4206,50.02,98,100,8.99,RU,1717471604
130,kitwe,-12.7961,28.2477,59.47,64,0,3.62,ZM,1717471606
131,alice springs,-23.7,133.8833,60.35,63,1,12.66,AU,1717471607
132,kongolo,-5.3833,27.0,70.5,89,41,2.15,CD,1717471608
133,port moresby,-9.4431,147.1797,85.42,70,40,11.5,PG,1717471609
134,constantia,44.1833,28.65,65.08,85,56,3.85,RO,1717471557
135,pahrump,36.2083,-115.9839,90.25,19,100,4.0,US,1717471611
136,laranjeiras do sul,-25.4078,-52.4161,57.43,94,9,2.59,BR,1717471355
137,papao,-17.75,-149.55,80.28,76,100,11.86,PF,1717471614
138,vila franca do campo,37.7167,-25.4333,64.89,99,16,6.06,PT,1717471615
139,liuhe,42.2401,125.7172,76.53,40,0,4.45,CN,1717471616
140,miri,4.4148,114.0089,87.94,70,40,8.05,MY,1717471617
141,isafjordur,66.0755,-23.124,32.74,73,99,10.02,IS,1717471618
142,anderson,34.5334,-82.6499,75.58,90,0,0.0,US,1717471619
143,nyurba,63.2842,118.3319,64.67,72,100,4.76,RU,1717471621
144,ushuaia,-54.8,-68.3,37.06,87,100,2.3,AR,1717471622
145,bodo,67.28,14.405,49.95,85,75,11.5,NO,1717471352
146,lompoc,34.6391,-120.4579,64.6,82,100,30.0,US,1717471624
147,whakatane,-37.9585,176.9854,61.52,67,83,3.0,NZ,1717471625
148,kill devil hills,36.0307,-75.676,75.97,78,100,12.66,US,1717471626
149,santa cruz,-17.8,-63.1667,67.46,73,20,11.5,BO,1717471417
150,zaranj,30.9667,61.8833,82.36,19,6,26.6,AF,1717471629
151,asasa,7.1,39.2,54.48,75,3,0.56,ET,1717471630
152,kerikeri,-35.2268,173.9474,60.03,72,100,5.95,NZ,1717471631
153,mandiana,10.6333,-8.6833,76.84,79,100,4.41,GN,1717471632
154,ostersund,63.1792,14.6357,45.05,93,100,2.3,SE,1717471633
155,cabo san lucas,22.8909,-109.9124,82.71,41,0,10.36,MX,1717471614
156,ongjin,37.9347,125.3619,73.87,42,0,6.2,KP,1717471636
157,nishinoomote,30.7333,131.0,73.96,73,75,6.91,JP,1717471637
158,hawaiian paradise park,19.5933,-154.9731,78.31,83,100,8.05,US,1717471638
159,gua musang,4.8823,101.9644,87.51,65,70,2.28,MY,1717471639
160,humberto de campos,-2.5983,-43.4611,74.25,97,6,2.13,BR,1717471640
161,mweka,-4.85,21.5667,68.56,98,78,1.45,CD,1717471641
162,sur,22.5667,59.5289,88.05,57,5,13.06,OM,1717471643
163,guiglo,6.5456,-7.4966,71.65,99,100,2.26,CI,1717471644
164,kingston,17.997,-76.7936,83.35,79,20,8.05,JM,1717471618
165,melekeok village,7.4957,134.6367,95.56,59,75,8.05,PW,1717471646
166,inari,68.906,27.0288,63.97,81,100,6.04,FI,1717471647
167,saldanha,-33.0117,17.9442,60.85,95,48,8.77,ZA,1717471649
